Person, human figure, two-legged creature, facial features, clothed individual
Cell phone, portable device, touch screen, various sizes, used for communication
Microwave, small kitchen appliance, door with window, digital controls, used for heating food
Oven, larger kitchen appliance, front door, temperature controls, used for baking or roasting
Toaster, rectangular box shape, slots on top, knob and button controls, metal or plastic exterior
Sink, bowl-shaped basin, faucet on top, drain at bottom, installed in kitchens or bathrooms
Refrigerator, tall box-like appliance, hinged door, cooling and freezing compartments, various sizes
Blender, cylindrical base, pitcher on top, blade inside, button or knob controls
Book, rectangular object, bound pages, cover with title, spine and pages
Clock, circular or square face, hour and minute hands, numbers or marks, wall-mounted or free-standing
Vase, container with a neck, wide or narrow opening, decorative patterns, used for holding flowers or as a decor
Scissors, two pivoting blades, handle loops, cutting tool, used for paper
Teddy bear, plush toy, bear-shaped, soft and cuddly, eyes and nose details
Hair dryer, handheld device, nozzle for air, buttons for control, electrical appliance
Toothbrush, small brush, bristles on one end, handle for holding, used for cleaning teeth
Hair brush, bristle pad, handle for gripping, used for grooming hair, varies in size and bristle type
